doc_id,dominant_topic,dominant_layer
doc001,4,technology
doc002,13,operational
doc003,13,operational
doc004,8,institutional
doc005,2,operational
doc006,13,operational
doc007,8,institutional
doc008,9,institutional
doc009,2,operational
doc010,0,operational
doc011,5,institutional
doc012,2,operational
doc013,0,operational
doc014,0,operational
doc015,11,operational
doc016,12,technology
doc017,11,institutional
doc018,7,technology
doc019,7,technology
doc020,12,technology
doc021,0,operational
doc022,8,institutional
doc023,7,technology
doc024,0,operational
doc025,13,operational
doc026,11,operational
doc027,3,operational
doc028,7,technology
doc029,7,technology
doc030,6,institutional
doc031,11,institutional
doc032,6,institutional
doc033,1,meta
doc034,5,institutional
doc035,5,institutional
doc036,10,institutional
doc037,8,institutional
doc038,13,operational
doc039,11,operational
doc040,4,technology
doc041,10,operational
doc042,9,institutional
doc043,0,operational
doc044,7,technology
doc045,7,technology
doc046,3,meta
doc047,10,institutional
doc048,10,institutional
doc049,6,institutional
doc050,1,meta
doc051,12,technology
doc052,11,operational
doc053,3,meta
doc054,0,operational
doc055,0,operational
doc056,6,institutional
doc057,13,operational
doc058,6,institutional
doc059,11,operational
doc060,11,operational
doc061,10,institutional
doc062,9,institutional
doc063,4,technology
doc064,6,institutional
doc065,11,operational
doc066,11,operational
doc067,0,operational
doc068,11,operational
doc069,8,institutional
doc070,3,meta
doc071,10,operational
doc072,9,institutional
doc073,10,institutional
doc074,9,institutional
doc075,1,institutional
doc076,2,operational
doc077,1,meta
doc078,11,operational
doc079,12,technology
doc080,4,technology
doc081,7,technology
doc082,6,institutional
doc083,11,operational
doc084,11,operational
doc085,4,technology
doc086,7,operational
doc087,0,operational
doc088,4,operational
doc089,0,operational
doc090,12,operational
doc091,0,operational
doc092,13,operational
doc093,11,technology
doc094,13,institutional
doc095,8,institutional
doc096,0,operational
doc097,10,institutional
doc098,7,technology
doc099,8,institutional
doc100,11,operational
doc101,1,institutional
doc102,8,institutional
doc103,10,institutional
doc104,12,technology
doc105,12,technology
doc106,12,technology
doc107,12,technology
doc108,8,institutional
doc109,6,institutional
doc110,5,institutional
doc111,13,operational
doc112,13,operational
doc113,10,institutional
doc114,7,technology
doc115,1,institutional
doc116,6,institutional
doc117,6,institutional
doc118,6,institutional
doc119,12,operational
doc120,8,institutional
doc121,13,operational
doc122,11,operational
doc123,11,operational
doc124,5,institutional
doc125,10,institutional
